Comment,Description,Designator,Footprint,LibRef,Quantity,LCSC Part #
Capacitor 100 nF +/-10% 50 V 0603,"Chip Capacitor, 100 nF, +/- 10%, 50 V, 0603 (1608 Metric)","C1, C2",CAPC1608X90X40NL10T20,CMP-001-00017-6,2,C323572
TAJC336K016RNJ,33uF 16V  ±10% 1.5O 2312  SMD Tantalum Capacitor,C3,FP-TAJC-MFG,CMP-04424-000635-1,1,C7217
Capacitor 10µF +/-20% 10V 0603,"Chip Capacitor, 10µF +/-20%, 10V, 0603, Thickness 1 mm",C4,CAPC0603(1608)100_L,CMP-001-00075-5,1,C90806
USBLC6-2SC6,"Very low capacitance ESD protection, 3.5 pF, -40 to 125 degC, 6-Pin SOT23, RoHS, Tape and Reel",D1,STM-SOT23-6L_V,CMP-2000-05378-1,1,C2687116
LTST-C190AKT,"LED Uni-Color Orange, 100 mW, 30 mA, -55 to 85 degC, 2-Pin SMD, RoHS, Tape and Reel",D2,LTST-C190AKT-2_V,CMP-007-00021-3,1,C138546
LTST-C190TBKT,"LED Uni-Color Blue, 76 mW, 20 mA, -20 to 80 degC, 2-Pin SMD, RoHS, Tape and Reel",D3,LTST-C190TBKT-2_V,CMP-007-00026-3,1,C125096
USB4110-GF-A,Conn USB Type C RCP 16 POS 0.3mm/0.5mm Solder ST SMD 16 Terminal 1 Port T/R,J1,FP-USB4110-GF-A-MFG,CMP-002-00073-7,1,C2927040
LQG18HN2N2S00D,"General Purpose Inductor, 0.0022uH, 13.636%, 1 Element, Air-Core, SMD, 0603",L1,FP-LQG18HH_00-IPC_A,CMP-006-00021-1,1,C1028
Resistor 10k +/-1% 0603 100 mW,"Chip Resistor, 10 KOhm, +/- 1%, 01 W, -55 to 155 degC, 0603 (1608 Metric)","R1, R2, R5, R11, R12",RESC1608X55X25ML10T15,CMP-009-00017-5,5,C881132
ERA-3AEB512V,Res Thin Film 0603 5.1K Ohm 0.1% 1/10W ±25ppm/°C Molded SMD SMD Punched Carrier T/R,"R3, R4",FP-ERA3A-MFG,CMP-009-00177-2,2,C881139
ESP32-C3-MINI-1U-N4,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.412GHz ~ 2.484GHz Antenna Not Included, I-PEX Surface Mount",U1,XCVR_ESP32-C3-MINI-1U-N4,CMP-005-000000-5,1,C2911374
LM3940,IC REG LDO 3.3V 1A SOT223,U2,FP-DCY0004A-IPC_C,CMP-019-00049-2,1,C140319
,,,,,,
